Date,Temperature,Humidity,Pressure,WindSpeed,Rainfall,Weather
2025-02-06,26.5,45,1000.1,14.4,5.0,Sunny
2025-02-07,11.3,46,1011.8,24.1,8.3,Sunny
2025-02-08,15.7,44,1009.7,9.9,4.4,Sunny
2025-02-09,26.4,66,1008.2,16.6,4.3,Sunny
2025-02-10,30.2,50,1019.1,23.4,0.0,Sunny
2025-02-11,26.2,42,1021.9,4.4,0.0,Sunny
2025-02-12,24.2,72,1019.2,23.6,0.0,Sunny
2025-02-13,22.9,46,1007.2,17.8,18.0,Sunny
2025-02-14,14.7,58,1032.5,3.6,0.0,Sunny
2025-02-15,20.0,62,998.8,8.9,0.0,Sunny
2025-02-16,21.8,87,1004.7,18.3,0.0,Cloudy
2025-02-17,32.4,42,1014.4,3.5,11.2,Sunny
2025-02-18,27.4,92,1013.7,15.4,1.6,Cloudy
2025-02-19,12.7,62,1016.9,10.0,14.0,Sunny
2025-02-20,27.3,70,1025.6,16.3,0.0,Sunny
2025-02-21,22.3,60,1012.0,3.1,6.2,Sunny
2025-02-22,20.3,42,1013.9,22.0,0.0,Sunny
2025-02-23,29.3,92,1008.2,24.4,21.2,Rainy
2025-02-24,32.2,94,1017.7,24.3,0.0,Cloudy
2025-02-25,31.5,84,1010.5,19.2,6.5,Cloudy
2025-02-26,19.1,62,1010.4,5.0,9.1,Sunny
2025-02-27,22.8,62,1017.3,19.4,7.3,Sunny
2025-02-28,27.3,71,1021.3,2.6,2.5,Sunny
2025-03-01,31.8,75,995.3,2.5,3.0,Sunny
2025-03-02,21.6,70,1015.9,9.4,4.4,Sunny
2025-03-03,23.7,61,1010.8,13.2,2.8,Sunny
2025-03-04,17.3,88,1020.6,19.7,11.7,Rainy
2025-03-05,16.6,51,1011.0,17.7,21.7,Sunny
2025-03-06,30.7,43,1023.4,12.3,0.0,Sunny
2025-03-07,34.5,67,1007.6,8.3,0.0,Sunny
2025-03-08,24.5,87,995.2,24.9,3.3,Cloudy
2025-03-09,32.0,54,1021.4,11.8,24.6,Sunny
2025-03-10,27.5,47,1006.3,12.4,0.0,Sunny
2025-03-11,20.5,62,1000.4,5.8,17.1,Sunny
2025-03-12,27.5,82,1013.1,20.3,17.4,Rainy
2025-03-13,35.8,63,1011.1,18.0,0.0,Sunny
2025-03-14,24.7,47,1019.6,7.1,8.6,Sunny
2025-03-15,36.0,80,1020.1,3.9,17.0,Rainy
2025-03-16,6.7,69,1013.8,17.7,1.0,Sunny
2025-03-17,30.8,40,1005.9,17.1,2.4,Sunny
2025-03-18,25.6,52,1015.3,8.3,0.0,Sunny
2025-03-19,22.9,85,1014.3,23.9,0.0,Cloudy
2025-03-20,25.6,39,1017.6,5.5,0.0,Sunny
2025-03-21,11.1,81,1006.0,11.9,0.0,Cloudy
2025-03-22,23.5,59,1009.8,23.7,4.3,Sunny
2025-03-23,27.5,36,1017.1,11.7,0.0,Sunny
2025-03-24,35.3,44,1023.0,16.7,5.9,Sunny
2025-03-25,21.4,90,1020.7,11.1,0.0,Cloudy
2025-03-26,19.3,64,1013.7,8.3,6.6,Sunny
2025-03-27,21.5,84,1009.1,24.6,10.7,Rainy
2025-03-28,31.4,93,1016.2,11.4,0.0,Cloudy
2025-03-29,27.3,79,1004.3,22.6,7.0,Cloudy
2025-03-30,21.3,39,1006.5,7.3,13.8,Sunny
2025-03-31,28.6,89,1025.1,6.9,0.0,Cloudy
2025-04-01,25.7,90,1016.2,2.7,17.4,Rainy
2025-04-02,31.8,67,1010.2,17.0,7.4,Sunny
2025-04-03,20.1,88,1019.6,10.5,0.0,Cloudy
2025-04-04,22.7,35,1023.3,21.9,3.6,Sunny
2025-04-05,22.3,52,1009.4,12.9,8.5,Sunny
2025-04-06,14.8,66,1009.6,24.3,4.6,Sunny
2025-04-07,27.1,81,1008.6,6.3,8.3,Cloudy
2025-04-08,26.8,83,1020.7,22.0,0.0,Cloudy
2025-04-09,25.0,45,1020.8,19.9,5.4,Sunny
2025-04-10,23.4,55,1024.1,19.7,0.0,Sunny
2025-04-11,15.1,60,1021.1,21.4,3.1,Sunny
2025-04-12,22.1,59,999.9,19.5,0.0,Sunny
2025-04-13,22.6,56,1015.2,16.4,0.0,Sunny
2025-04-14,19.4,93,1004.5,5.0,13.9,Rainy
2025-04-15,23.9,61,1008.9,2.7,12.7,Sunny
2025-04-16,27.8,83,1014.4,23.2,8.9,Cloudy
2025-04-17,38.2,47,1019.7,16.2,0.0,Sunny
2025-04-18,26.2,67,1005.9,20.3,1.5,Sunny
2025-04-19,26.8,68,994.4,13.1,13.7,Sunny
2025-04-20,24.5,75,1014.4,4.7,5.1,Sunny
2025-04-21,11.6,69,1034.1,4.9,22.6,Sunny
2025-04-22,24.8,35,1011.4,17.8,7.1,Sunny
2025-04-23,25.4,55,1013.4,11.9,5.5,Sunny
2025-04-24,42.2,82,1027.3,6.6,1.5,Cloudy
2025-04-25,23.7,89,1017.7,13.3,5.1,Cloudy
2025-04-26,27.1,40,1014.7,3.5,2.8,Sunny
2025-04-27,24.8,62,1016.5,15.4,9.7,Sunny
2025-04-28,16.8,51,1015.0,8.2,11.7,Sunny
2025-04-29,33.0,39,1003.9,20.3,0.0,Sunny
2025-04-30,30.3,65,1002.3,9.1,0.0,Sunny
2025-05-01,30.5,39,1028.1,12.5,0.0,Sunny
2025-05-02,18.6,72,1014.5,2.3,8.1,Sunny
2025-05-03,34.8,37,1013.8,3.7,0.0,Sunny
2025-05-04,15.2,87,1012.3,11.0,0.0,Cloudy
2025-05-05,29.1,57,1019.2,13.0,7.1,Sunny
2025-05-06,40.3,71,1033.3,15.8,23.9,Rainy
2025-05-07,18.1,87,1017.2,8.7,4.0,Cloudy
2025-05-08,21.0,71,1008.3,18.0,10.7,Rainy
2025-05-09,25.7,44,1011.9,21.8,4.7,Sunny
2025-05-10,21.5,44,1021.6,19.9,3.2,Sunny
2025-05-11,14.1,53,1008.3,2.9,11.4,Sunny
2025-05-12,25.5,51,1019.8,13.1,1.7,Sunny
2025-05-13,17.6,55,994.4,4.4,6.1,Sunny
2025-05-14,28.3,48,1011.2,7.6,6.6,Sunny
2025-05-15,18.6,43,1018.0,24.7,0.0,Sunny
2025-05-16,35.8,80,1023.2,5.3,11.9,Rainy
2025-05-17,19.5,35,1006.5,13.5,2.6,Sunny
2025-05-18,22.7,85,1001.0,16.2,0.0,Cloudy
2025-05-19,30.7,79,1010.9,18.2,8.3,Cloudy
2025-05-20,16.4,47,1004.0,14.9,0.0,Sunny
2025-05-21,26.6,38,1011.8,2.2,4.2,Sunny
2025-05-22,34.1,35,1012.9,9.5,3.9,Sunny
2025-05-23,13.7,83,1002.4,13.9,12.7,Rainy
2025-05-24,26.3,74,1019.4,4.0,7.8,Sunny
2025-05-25,26.8,66,1011.7,10.1,3.8,Sunny
2025-05-26,30.5,68,1021.6,2.8,10.5,Sunny
2025-05-27,16.3,62,998.2,3.8,15.1,Sunny
2025-05-28,15.8,65,1004.9,11.1,8.5,Sunny
2025-05-29,28.7,42,1017.1,5.1,4.1,Sunny
2025-05-30,27.1,73,1006.6,15.1,0.0,Sunny
2025-05-31,26.8,60,1011.7,17.9,0.0,Sunny
2025-06-01,27.4,92,1013.0,20.4,1.6,Cloudy
2025-06-02,20.2,68,1014.3,6.6,0.0,Sunny
2025-06-03,26.6,88,1007.6,5.9,2.5,Cloudy
2025-06-04,27.1,88,1014.2,4.4,4.5,Cloudy
2025-06-05,20.0,37,1006.7,16.6,8.2,Sunny
2025-06-06,38.1,93,1018.4,18.2,3.4,Cloudy
2025-06-07,28.3,84,1012.1,2.7,7.9,Cloudy
2025-06-08,16.7,46,1014.2,23.5,4.5,Sunny
2025-06-09,29.6,35,1033.6,3.2,0.0,Sunny
2025-06-10,18.2,88,1004.1,14.4,0.0,Cloudy
2025-06-11,30.5,78,1024.1,18.3,2.8,Cloudy
2025-06-12,33.1,39,991.7,22.0,0.0,Sunny
2025-06-13,19.3,64,996.4,18.4,8.8,Sunny
2025-06-14,31.7,64,1003.1,20.4,16.2,Sunny
2025-06-15,27.9,93,1003.6,9.8,13.8,Rainy
2025-06-16,30.8,91,1014.6,20.7,2.3,Cloudy
2025-06-17,38.3,51,1015.3,3.8,15.9,Sunny
2025-06-18,23.3,82,1011.0,22.6,5.2,Cloudy
2025-06-19,19.7,81,1011.8,14.6,1.3,Cloudy
2025-06-20,18.8,57,1017.2,20.8,0.0,Sunny
2025-06-21,19.3,49,1019.7,12.4,1.6,Sunny
2025-06-22,24.5,71,1002.4,16.8,0.9,Sunny
2025-06-23,27.4,55,1010.1,14.1,5.4,Sunny
2025-06-24,26.9,48,1012.4,18.8,5.3,Sunny
2025-06-25,30.8,36,1016.9,3.9,4.0,Sunny
2025-06-26,25.1,45,1006.8,3.4,7.5,Sunny
2025-06-27,35.2,85,1012.3,7.7,13.5,Rainy
2025-06-28,23.1,73,1013.2,5.7,11.6,Rainy
2025-06-29,44.0,72,1007.4,22.1,0.0,Sunny
2025-06-30,29.4,94,1007.2,7.0,0.0,Cloudy
2025-07-01,19.0,68,1013.8,24.4,11.5,Sunny
2025-07-02,17.5,72,1012.0,9.7,0.0,Sunny
2025-07-03,28.4,84,1017.0,6.2,2.2,Cloudy
2025-07-04,23.4,68,1004.6,20.2,0.0,Sunny
2025-07-05,30.0,52,1010.2,17.2,0.0,Sunny
2025-07-06,28.3,64,1011.2,13.5,8.3,Sunny
2025-07-07,24.5,49,1019.5,14.8,10.1,Sunny
2025-07-08,19.1,61,1005.5,18.5,0.0,Sunny
2025-07-09,14.4,85,1014.9,7.3,0.0,Cloudy
2025-07-10,21.9,68,1015.0,24.9,0.0,Sunny
2025-07-11,31.0,86,1026.2,24.4,7.1,Cloudy
2025-07-12,26.5,91,1004.9,17.0,0.0,Cloudy
2025-07-13,16.3,72,1007.7,6.6,5.5,Sunny
2025-07-14,26.2,67,1005.5,17.6,3.9,Sunny
2025-07-15,27.7,58,999.6,3.7,8.6,Sunny
2025-07-16,18.8,49,1027.1,2.7,5.0,Sunny
2025-07-17,26.1,94,1003.1,7.9,0.0,Cloudy
2025-07-18,25.4,64,1006.5,12.6,13.6,Sunny
2025-07-19,17.0,89,1023.5,22.0,2.7,Cloudy
2025-07-20,27.5,76,999.0,18.7,3.8,Cloudy
2025-07-21,28.9,85,1019.1,19.1,0.0,Cloudy
2025-07-22,32.6,51,1001.7,11.8,0.5,Sunny
2025-07-23,32.4,39,1023.0,10.0,0.0,Sunny
2025-07-24,15.4,63,995.6,10.5,2.6,Sunny
2025-07-25,18.4,38,999.0,24.7,17.7,Sunny
2025-07-26,28.6,44,1008.6,2.9,0.0,Sunny
2025-07-27,28.6,90,1020.8,21.9,0.0,Cloudy
2025-07-28,28.6,51,1012.8,15.3,15.8,Sunny
2025-07-29,52.0,44,1010.3,12.1,2.3,Sunny
2025-07-30,29.0,51,1023.8,18.7,0.0,Sunny
2025-07-31,32.9,94,1030.2,13.2,12.3,Rainy
2025-08-01,31.7,54,1018.4,22.1,0.0,Sunny
2025-08-02,29.6,58,1008.0,22.7,18.6,Sunny
2025-08-03,22.8,39,1009.7,11.7,9.4,Sunny
2025-08-04,30.3,68,1002.7,8.4,0.1,Sunny
2025-08-05,19.6,40,1013.8,15.6,21.3,Sunny
2025-08-06,23.3,87,1000.0,23.0,0.0,Cloudy
2025-08-07,21.6,36,1017.4,6.8,9.9,Sunny
2025-08-08,25.6,47,1029.0,16.3,6.4,Sunny
2025-08-09,41.2,77,1018.7,16.5,14.4,Rainy
2025-08-10,11.9,77,1009.2,18.9,16.5,Rainy
2025-08-11,29.8,82,1017.2,5.0,4.3,Cloudy
2025-08-12,13.7,45,1026.0,18.5,0.0,Sunny
2025-08-13,21.7,85,1025.6,22.9,7.7,Cloudy
2025-08-14,32.6,81,1005.0,6.1,0.0,Cloudy
2025-08-15,25.4,91,1017.1,7.5,20.1,Rainy
2025-08-16,17.5,57,1011.7,24.3,5.1,Sunny
2025-08-17,20.0,89,1019.5,6.2,1.1,Cloudy
2025-08-18,29.8,50,1016.1,21.7,5.5,Sunny
2025-08-19,19.9,65,994.0,13.3,0.0,Sunny
2025-08-20,26.5,45,1010.2,7.7,0.0,Sunny
2025-08-21,25.3,88,1014.6,22.0,13.6,Rainy
2025-08-22,20.4,50,1001.5,12.2,0.0,Sunny
2025-08-23,40.0,42,1017.6,13.8,0.0,Sunny
2025-08-24,29.4,38,1000.8,10.3,8.3,Sunny
2025-08-25,10.8,74,1006.6,15.6,13.5,Rainy
2025-08-26,26.3,38,1023.7,5.8,9.8,Sunny
2025-08-27,20.4,90,1005.9,11.0,12.0,Rainy
2025-08-28,31.0,59,1017.6,24.3,0.0,Sunny
2025-08-29,19.5,37,999.0,7.9,0.0,Sunny
2025-08-30,24.2,66,1029.7,17.1,16.0,Sunny
2025-08-31,28.5,37,1010.6,9.5,1.4,Sunny
2025-09-01,31.1,61,1013.8,19.8,2.0,Sunny
2025-09-02,16.6,63,1014.4,5.0,14.6,Sunny
2025-09-03,22.7,66,1017.9,24.3,8.4,Sunny
2025-09-04,21.7,84,1000.8,12.4,7.6,Cloudy
2025-09-05,20.4,92,1013.0,7.4,21.3,Rainy
2025-09-06,37.4,85,1007.7,3.7,0.0,Cloudy
2025-09-07,27.8,53,999.5,5.9,11.4,Sunny
2025-09-08,16.2,55,1020.9,14.0,4.5,Sunny
2025-09-09,31.4,39,1010.2,9.8,6.1,Sunny
2025-09-10,39.9,52,1014.9,21.1,16.2,Sunny
2025-09-11,32.2,62,1014.4,11.9,8.1,Sunny
2025-09-12,14.4,76,1010.3,7.7,8.3,Cloudy
2025-09-13,21.6,56,1028.8,16.2,12.6,Sunny
2025-09-14,33.9,55,1012.6,18.3,1.1,Sunny
2025-09-15,20.0,40,1000.5,5.8,0.0,Sunny
2025-09-16,28.1,35,1009.8,5.9,0.0,Sunny
2025-09-17,30.4,39,1017.0,2.8,0.0,Sunny
2025-09-18,18.5,75,1017.3,18.9,20.4,Rainy
2025-09-19,24.6,46,1004.3,17.3,0.0,Sunny
2025-09-20,2.3,60,1020.4,12.9,2.2,Sunny
2025-09-21,17.8,80,998.9,21.4,1.8,Cloudy
2025-09-22,23.2,68,1022.2,20.5,6.5,Sunny
2025-09-23,16.3,83,1002.4,15.5,10.5,Rainy
2025-09-24,36.4,48,1011.2,22.0,10.9,Sunny
2025-09-25,15.0,60,1021.5,6.7,0.0,Sunny
2025-09-26,21.9,79,1014.0,4.6,2.7,Cloudy
2025-09-27,25.9,61,1019.5,8.2,6.3,Sunny
2025-09-28,35.1,43,1017.9,3.3,2.0,Sunny
2025-09-29,14.9,60,1023.3,14.2,16.9,Sunny
2025-09-30,33.1,91,1021.5,23.5,7.9,Cloudy
2025-10-01,25.1,81,1009.4,2.9,9.9,Cloudy
2025-10-02,18.1,91,1018.1,4.8,9.3,Cloudy
2025-10-03,28.2,56,1000.8,12.4,13.4,Sunny
2025-10-04,26.4,81,1012.5,23.5,5.4,Cloudy
2025-10-05,20.8,90,1019.5,9.3,0.0,Cloudy
2025-10-06,25.5,64,1014.1,13.7,7.2,Sunny
2025-10-07,22.3,77,1016.6,3.0,0.0,Cloudy
2025-10-08,25.8,82,1011.3,5.4,0.0,Cloudy
2025-10-09,29.6,51,1022.0,24.7,8.7,Sunny
2025-10-10,36.1,60,1012.4,24.2,13.9,Sunny
2025-10-11,16.3,70,1009.3,2.1,4.2,Sunny
2025-10-12,39.9,35,1020.1,23.9,6.5,Sunny
2025-10-13,11.3,42,1001.8,16.7,17.6,Sunny
2025-10-14,23.9,83,1017.0,22.0,5.9,Cloudy
2025-10-15,29.1,69,1004.7,12.5,24.8,Sunny
2025-10-16,27.0,86,1023.2,13.9,8.5,Cloudy
2025-10-17,20.6,49,1010.9,13.2,0.0,Sunny
2025-10-18,23.5,81,1014.1,17.3,10.0,Cloudy
2025-10-19,21.5,90,1016.3,5.2,7.0,Cloudy
2025-10-20,20.9,56,997.6,2.7,14.3,Sunny
2025-10-21,30.9,48,1007.8,9.1,9.4,Sunny
2025-10-22,27.5,60,1021.3,18.2,2.9,Sunny
2025-10-23,20.1,62,1019.9,6.6,0.0,Sunny
2025-10-24,31.3,57,1015.3,17.5,2.3,Sunny
2025-10-25,27.2,48,1002.2,24.3,0.0,Sunny
2025-10-26,30.7,58,1017.7,4.2,0.0,Sunny
2025-10-27,29.4,36,1018.7,17.5,8.7,Sunny
2025-10-28,19.2,79,1013.4,12.2,17.4,Rainy
2025-10-29,21.1,60,1022.8,22.0,7.2,Sunny
2025-10-30,30.2,48,1007.5,6.1,0.0,Sunny
2025-10-31,29.3,93,1008.9,17.9,7.6,Cloudy
2025-11-01,24.9,90,993.1,21.3,13.6,Rainy
2025-11-02,25.8,85,1020.4,23.7,0.0,Cloudy
2025-11-03,33.9,41,1015.5,17.7,2.9,Sunny
2025-11-04,20.9,37,999.5,13.4,4.1,Sunny
2025-11-05,28.8,81,998.9,16.2,0.0,Cloudy
2025-11-06,23.6,57,1006.0,22.0,9.2,Sunny
2025-11-07,23.5,80,1019.3,15.1,3.0,Cloudy
2025-11-08,32.7,77,1010.6,2.7,7.4,Cloudy
2025-11-09,30.8,81,1006.6,23.4,0.0,Cloudy
2025-11-10,30.7,94,1005.0,17.9,0.5,Cloudy
2025-11-11,34.1,79,1004.6,17.6,9.8,Cloudy
2025-11-12,25.1,52,997.5,7.0,1.0,Sunny
2025-11-13,29.8,92,1003.3,17.2,17.8,Rainy
2025-11-14,22.8,72,1004.4,11.1,0.8,Sunny
2025-11-15,27.3,69,1018.5,17.0,5.8,Sunny
2025-11-16,24.1,85,1011.7,4.5,11.5,Rainy
2025-11-17,25.7,49,1006.4,17.1,0.0,Sunny
2025-11-18,29.2,59,1031.5,25.0,0.0,Sunny
2025-11-19,19.3,89,1007.7,3.1,0.0,Cloudy
2025-11-20,39.6,71,1022.3,24.5,14.1,Rainy
2025-11-21,18.0,62,1026.0,11.4,0.0,Sunny
2025-11-22,16.5,44,1000.4,22.0,24.5,Sunny
2025-11-23,33.1,73,1013.6,20.0,0.0,Sunny
2025-11-24,30.5,91,1008.9,15.0,5.5,Cloudy
2025-11-25,29.4,51,1008.2,19.0,16.3,Sunny
2025-11-26,29.4,73,1017.4,22.2,20.0,Rainy
2025-11-27,24.9,56,1008.0,11.3,20.5,Sunny
2025-11-28,18.7,60,1009.0,9.5,13.7,Sunny
2025-11-29,25.5,78,1011.7,17.4,12.2,Rainy
2025-11-30,20.3,59,1010.0,20.6,8.7,Sunny
2025-12-01,31.8,51,1003.6,19.5,10.2,Sunny
2025-12-02,24.0,47,1019.4,20.3,0.0,Sunny
2025-12-03,19.2,54,1021.4,12.0,0.0,Sunny
2025-12-04,22.8,59,1015.7,20.8,4.0,Sunny
2025-12-05,27.9,38,1010.0,4.8,2.6,Sunny
2025-12-06,21.1,44,1007.4,14.5,0.4,Sunny
2025-12-07,19.2,37,1007.4,2.1,9.6,Sunny
2025-12-08,26.7,75,1031.9,9.5,11.6,Rainy
2025-12-09,26.7,79,1020.5,10.4,4.7,Cloudy
2025-12-10,21.5,52,1006.3,11.1,15.8,Sunny
2025-12-11,21.7,81,1014.3,18.0,0.0,Cloudy
2025-12-12,26.6,70,1010.1,10.9,2.5,Sunny
2025-12-13,14.9,81,1017.7,12.3,0.0,Cloudy
2025-12-14,15.1,56,1017.3,7.5,0.0,Sunny
2025-12-15,20.0,68,1021.7,10.6,3.3,Sunny
2025-12-16,23.5,81,1006.2,7.2,3.0,Cloudy
2025-12-17,27.2,42,1013.8,3.7,16.1,Sunny
2025-12-18,35.3,74,999.0,15.9,9.0,Sunny
2025-12-19,31.0,83,1002.9,17.4,0.0,Cloudy
2025-12-20,23.9,78,1020.1,16.2,18.8,Rainy
2025-12-21,24.9,53,1005.4,12.7,13.8,Sunny
2025-12-22,18.0,76,1006.3,10.7,8.7,Cloudy
2025-12-23,24.9,75,1012.9,21.9,2.2,Sunny
2025-12-24,23.0,71,1018.6,13.9,0.0,Sunny
2025-12-25,27.3,40,1004.5,13.0,1.0,Sunny
2025-12-26,19.2,86,985.2,2.6,12.7,Rainy
2025-12-27,28.6,60,1006.0,9.8,19.1,Sunny
2025-12-28,35.7,68,1022.6,10.7,16.3,Sunny
2025-12-29,24.2,93,1015.7,11.2,0.1,Cloudy
2025-12-30,27.8,90,1023.6,15.3,0.0,Cloudy
2025-12-31,29.8,93,1003.9,14.3,5.1,Cloudy
